"Age","spBrand","spAge","spWBUseFreq","spSEUseFreq","spComfInstallBrowser","spComfDefaultBrowserChange","spComfDefaultSearchChange","Sex","GUID","spComfInstallBrowser_recode","spComfDefaultBrowserChange_recode","spComfDefaultSearchChange_recode","Ethnicity","Education","Income","spComfort"
38,3,1,1,1,1,1,1,1,"0007a34a-df0f-ff99-dfc8-942cbfd6dba1",0,0,0,"Black or African American","Secondary School","",0
46,NA,NA,NA,NA,5,5,5,1,"00282bac-006c-7aaf-a02e-1c038f3f9441",4,4,4,"White","None completed","$0 - $14,999",4
29,NA,NA,NA,NA,4,4,4,1,"00a4c861-1c1d-e660-60e3-ff8f0d54db96",3,3,3,"White","University/Higher Education","$15,000 - $24,999",3
62,4,2,3,4,3,2,5,1,"014ab9a2-1f31-8d9c-8e20-8e614dd9174f",2,1,4,"Asian","High School/Tertiary/Tech. College","",2.33333333333333
48,22,7,5,5,4,4,4,1,"01cf5015-1cc1-5cc2-0b97-67e45a2e18f2",3,3,3,"White","University/Higher Education","",3
35,16,2,1,1,5,5,5,2,"0200deec-5baa-4e7b-c46e-e92bb9075e05",4,4,4,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",4
62,16,2,1,1,4,4,4,1,"023a1a24-a0bb-35d8-8da6-2d110e9bf4e0",3,3,3,"White","University/Higher Education","$0 - $14,999",3
41,7,2,3,3,5,5,5,2,"028bb9bf-f348-4411-8d3e-8ea032b77252",4,4,4,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",4
25,NA,NA,NA,NA,2,4,4,1,"029af010-e0ce-6fc5-9c91-c7b1575265fd",1,3,3,"White","University/Higher Education","$50,000 - $79,999",2.33333333333333
77,1,3,1,1,1,1,1,1,"02b02f1e-ef74-0338-759c-189b683beaef",0,0,0,"White","University/Higher Education","",0
18,1,3,5,5,4,4,4,1,"02c92092-cb8b-1215-0d10-17e201a52c75",3,3,3,"White","Secondary School","",3
18,16,5,4,3,1,4,3,1,"02da4711-6fce-7262-1e93-70f1bd29a7fe",0,3,2,"White","High School/Tertiary/Tech. College","",1.66666666666667
76,1,1,1,1,3,3,3,1,"03392808-1526-1a65-e18a-1f129ec8f1e4",2,2,2,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",2
75,16,4,7,4,1,1,1,2,"033fab44-44d1-82ec-38c5-9c14e183c7a9",0,0,0,"White","High School/Tertiary/Tech. College","$80,000 - $99,999",0
30,1,2,1,1,5,5,5,2,"035d5f63-b1c2-082f-d5e1-6876fb63a584",4,4,4,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",4
54,16,2,1,1,4,4,4,1,"03904ce4-d23a-d24e-1e66-7bbba3a1ff0d",3,3,3,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",3
33,NA,NA,NA,NA,2,5,3,2,"03e7c0bd-a67e-f14e-233f-f7cc7cbf465a",1,4,2,"Black or African American","High School/Tertiary/Tech. College","",2.33333333333333
65,8,2,1,1,1,1,1,2,"03f135af-5115-039e-292d-02da5e3fb544",0,0,0,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",0
78,NA,NA,NA,NA,NA,NA,NA,1,"03fa4813-492a-1244-2291-7fd1d07cb1e2",NA,NA,NA,"White","University/Higher Education","",NA
74,16,2,7,7,1,1,1,2,"0479b81c-e755-e86b-f19e-8f528719b4e2",0,0,0,"White","University/Higher Education","$100,000 - $149,999",0
55,11,1,1,1,4,4,4,2,"048cf786-bb66-b9e1-5404-c0a7a7c47b6c",3,3,3,"White","University/Higher Education","$0 - $14,999",3
42,1,1,2,1,4,4,4,1,"04d78df1-4ce7-85e1-1373-bafc1ed7c81c",3,3,3,"White","High School/Tertiary/Tech. College","",3
53,1,2,2,2,3,3,3,2,"04de0dbe-5ca2-e72c-073c-3af51ab4a657",2,2,2,"White","University/Higher Education","$150,000 - $199,999",2
21,NA,NA,NA,NA,2,2,3,2,"04f02e1a-b745-8e0a-2f98-19db9c9d4bfd",1,1,2,"Asian","University/Higher Education","$150,000 - $199,999",1.33333333333333
63,11,2,4,3,2,3,3,1,"0566c018-359f-d11f-a29a-f74d8efc31cb",1,2,2,"White","High School/Tertiary/Tech. College","",1.66666666666667
46,16,6,1,1,4,4,4,1,"05cd7628-c316-a76b-12aa-41e6cadb2fcf",3,3,3,"White","University/Higher Education","$25,000 - $49,999",3
66,11,2,1,1,5,5,5,2,"05d1c2e1-ad93-3df9-d760-f5fa31a23706",4,4,4,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",4
36,1,2,1,2,3,3,3,2,"05d9ca49-5638-baf7-ddc8-fdf2c7b172a4",2,2,2,"American Indian or Alaska Native","Primary School","$15,000 - $24,999",2
76,NA,NA,NA,NA,2,2,2,1,"05f6f147-ad43-5391-29c5-c6ddb71ca1af",1,1,1,"White","University/Higher Education","$80,000 - $99,999",1
52,16,1,4,4,4,4,4,2,"061e75b5-f345-d5b0-da37-423583192b5e",3,3,3,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",3
33,NA,NA,NA,NA,NA,NA,NA,1,"062b8430-2265-10a7-a5b2-b3001df279d8",NA,NA,NA,"White","University/Higher Education","$25,000 - $49,999",NA
24,1,2,1,1,4,4,4,1,"062f599f-4b22-b9c5-eb1d-6e04a23aa378",3,3,3,"White","University/Higher Education","",3
83,1,1,1,1,4,4,4,2,"06622425-66ce-0cf9-a6a7-1349689f81f7",3,3,3,"White","University/Higher Education","$15,000 - $24,999",3
38,16,2,1,1,3,3,3,1,"06d6dcd0-a50d-cb56-1352-ebfd8c656337",2,2,2,"Asian","High School/Tertiary/Tech. College","$15,000 - $24,999",2
25,NA,NA,NA,NA,NA,NA,NA,1,"0723dc39-0e79-15c9-e7bb-eb087f33d7d1",NA,NA,NA,"Asian","University/Higher Education","$50,000 - $79,999",NA
30,16,2,1,1,3,3,3,2,"074e8baf-e640-75a9-8a2d-bc65b5620142",2,2,2,"Black or African American","University/Higher Education","",2
30,21,1,1,1,3,3,3,1,"07a8fd91-50d6-cc7d-6c13-ca833bfd9059",2,2,2,"White","High School/Tertiary/Tech. College","",2
72,NA,NA,NA,NA,1,1,1,2,"07f6c32e-8d1e-85b8-2fac-f4dd27af44c6",0,0,0,"White","University/Higher Education","$15,000 - $24,999",0
30,NA,NA,NA,NA,NA,NA,NA,2,"08007bcb-768b-7609-044a-4c2b48aaf126",NA,NA,NA,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",NA
53,1,1,1,1,4,4,5,1,"08301644-11d0-9745-f4c6-211b0552f0ac",3,3,4,"White","University/Higher Education","$150,000 - $199,999",3.33333333333333
56,1,5,4,4,2,1,2,1,"08738d36-6a80-96f9-b6b4-ba585b84ebdb",1,0,1,"White","University/Higher Education","$80,000 - $99,999",0.666666666666667
21,NA,NA,NA,NA,2,2,5,1,"0875c282-bb25-5b6e-fb00-f55e14bee669",1,1,4,"White","Postgraduate Education","$50,000 - $79,999",2
37,1,5,1,1,5,5,5,1,"08b19f39-5d63-c13f-39bb-a89a88394ed5",4,4,4,"White","University/Higher Education","$50,000 - $79,999",4
43,16,1,2,2,5,5,5,2,"0942eb12-9e60-7506-cc90-dc696ffdcff5",4,4,4,"White","University/Higher Education","",4
27,1,2,1,2,4,4,4,1,"09505a3c-2301-1fad-89be-6d7b14b7dad5",3,3,3,"White","University/Higher Education","$25,000 - $49,999",3
61,7,2,4,4,5,5,5,2,"09b92e62-0af2-3315-7ce0-19920aeccc88",4,4,4,"White","University/Higher Education","$15,000 - $24,999",4
28,16,3,1,1,3,3,3,1,"0a455af4-b4b9-32e7-4275-6d6e15d9341d",2,2,2,"White","University/Higher Education","$50,000 - $79,999",2
40,16,1,2,2,5,5,5,2,"0a7d0a8c-e78c-541b-a40e-3d56f1576c7c",4,4,4,"White","University/Higher Education","",4
25,10,5,6,4,3,2,4,2,"0aacd956-a3aa-33d2-68d4-ee8782ab47a8",2,1,3,"","Postgraduate Education","",2
39,16,1,1,1,4,4,4,2,"0b13df48-9c74-38dd-cbca-e838fe607da2",3,3,3,"Asian","University/Higher Education","$100,000 - $149,999",3
52,5,1,1,1,1,1,1,2,"0b2a0f1e-17af-3322-f29c-3801459ed2f3",0,0,0,"White","University/Higher Education","$150,000 - $199,999",0
47,16,3,1,1,4,4,4,1,"0b3aadd3-0c10-2cb2-fe51-9a1126a3cb3b",3,3,3,"White","University/Higher Education","",3
62,7,4,2,2,2,1,2,2,"0b5a650f-6c19-9021-858d-5271691f91e6",1,0,1,"White","University/Higher Education","$15,000 - $24,999",0.666666666666667
45,16,5,7,7,2,2,2,1,"0b6dee3a-761a-f878-a9b8-d946c708f3d2",1,1,1,"I prefer not to answer","Postgraduate Education","$50,000 - $79,999",1
46,1,3,5,3,2,1,4,2,"0b81f955-8392-30b1-52d7-ceaabf6073bb",1,0,3,"Hispanic or Latino","High School/Tertiary/Tech. College","",1.33333333333333
38,7,4,1,1,5,5,NA,1,"0b8f3a2b-c94f-af5a-01a9-0da496d8e4c2",4,4,NA,"Other","University/Higher Education","$25,000 - $49,999",NA
53,20,1,1,1,4,4,4,1,"0bae08e3-99ed-1268-6b61-3f85bcf85f0e",3,3,3,"White","High School/Tertiary/Tech. College","$0 - $14,999",3
72,4,7,1,2,2,2,2,1,"0c243512-12b1-abea-aa90-020f0c2a9ff5",1,1,1,"White","University/Higher Education","$25,000 - $49,999",1
25,NA,NA,NA,NA,3,1,2,1,"0c49df60-4747-cfff-91e2-e862afaaa787",2,0,1,"White","High School/Tertiary/Tech. College","$0 - $14,999",1
18,NA,NA,NA,NA,NA,NA,NA,1,"0c4babc2-09b3-9792-9340-9c603473f12a",NA,NA,NA,"White","High School/Tertiary/Tech. College","",NA
22,1,2,2,2,3,3,5,2,"0c6933da-20b5-c821-b658-0442bb8dc83d",2,2,4,"Other","High School/Tertiary/Tech. College","$15,000 - $24,999",2.66666666666667
45,16,3,1,1,5,5,5,2,"0c865e7e-de48-90c3-42fc-69adc163de94",4,4,4,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",4
44,11,1,1,1,3,4,4,2,"0c866808-a3cb-5f82-428a-5fad0aff4afc",2,3,3,"Hispanic or Latino","University/Higher Education","",2.66666666666667
80,1,3,3,2,3,2,3,2,"0ca0bb50-bd98-5d2c-7fd2-8c8b0cfd3eb8",2,1,2,"White","University/Higher Education","$25,000 - $49,999",1.66666666666667
35,1,3,1,1,5,5,5,2,"0cabd617-f1dc-96ce-2395-e1802565a9ff",4,4,4,"White","University/Higher Education","$150,000 - $199,999",4
42,16,3,1,1,4,4,4,1,"0d0b6d27-f8b5-4620-cfa5-5a20bee23dce",3,3,3,"White","University/Higher Education","",3
36,4,3,5,3,4,4,5,1,"0d417b8a-149d-e24f-cf08-4c6a48044762",3,3,4,"White","University/Higher Education","$100,000 - $149,999",3.33333333333333
22,NA,NA,NA,NA,2,4,4,2,"0d9bb67b-1cd2-ea60-9cfa-81b01a8b379c",1,3,3,"White","University/Higher Education","",2.33333333333333
24,15,2,3,4,1,4,5,2,"0e628be8-206f-827c-a66a-bc49ba65c70f",0,3,4,"Hispanic or Latino","High School/Tertiary/Tech. College","",2.33333333333333
35,1,1,1,2,3,4,3,1,"0e7a0b00-f412-9537-f482-3c515573a6e7",2,3,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2.33333333333333
49,11,2,7,7,3,3,3,2,"0f0aaf17-367d-a962-8095-98218e07a3ff",2,2,2,"White","Postgraduate Education","$50,000 - $79,999",2
81,1,6,2,2,4,3,4,2,"0f2c9edf-1190-e21a-f45d-a9074e2cd532",3,2,3,"White","University/Higher Education","$150,000 - $199,999",2.66666666666667
57,16,5,1,1,1,1,1,1,"0f358c15-37a0-c9df-ed97-bb1e5956cff8",0,0,0,"White","University/Higher Education","$0 - $14,999",0
18,NA,NA,NA,NA,NA,NA,NA,2,"0fab5bb8-078d-7dcf-b139-6c80f4cf2254",NA,NA,NA,"Hispanic or Latino","Primary School","$0 - $14,999",NA
55,16,4,1,1,5,5,5,1,"0fe0735f-9246-64b9-25dd-44cbad5655b8",4,4,4,"American Indian or Alaska Native","University/Higher Education","$50,000 - $79,999",4
69,NA,NA,NA,NA,NA,NA,NA,2,"10057baf-dd66-520c-dd2d-4c2e3fadd948",NA,NA,NA,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",NA
